,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps,Year
822,28063,MS,Jefferson County,0.0,0.1651,0.0,0.1533,0.2783,0.2783,0.0,0.0,0.059,0.941,0.1863,0.8137,0.0,0.0,0.5896,0.0,0.0,0.0,0.0,0.375,0.0472,0.6557,0.1604,0.0778,0.0283,0.0,0.0,0.0,0.0,0.0,0.87,0.09,0.0,0.5731,0.1557,0.2712,424.0,2015
823,28067,MS,Jones County,0.0345,0.1209,0.1591,0.1808,0.2131,0.2863,0.0,0.0,0.052,0.948,0.1877,0.8123,0.0,0.0249,0.2238,0.0148,0.0,0.0,0.3367,0.3897,0.0297,0.6182,0.1882,0.087,0.026,0.0276,0.0,0.0,0.01,0.03,0.86,0.09,0.01,0.6129,0.1474,0.2397,1886.0,2015
824,28069,MS,Kemper County,0.0,0.1561,0.1098,0.2081,0.2312,0.2803,0.0,0.0,0.0896,0.9104,0.2399,0.7601,0.0,0.0,0.4306,0.0,0.0,0.0,0.104,0.4595,0.0318,0.6503,0.1705,0.0607,0.0,0.0,0.0,0.0318,0.0,0.0,0.81,0.17,0.0,0.5954,0.1069,0.2977,346.0,2015
825,28071,MS,Lafayette County,0.0,0.1624,0.2446,0.1624,0.1898,0.2055,0.0,0.0,0.137,0.863,0.319,0.681,0.0,0.0323,0.2456,0.0137,0.0,0.0108,0.365,0.3327,0.0597,0.5157,0.2172,0.0812,0.0587,0.0333,0.0,0.0,0.0,0.05,0.76,0.17,0.0,0.5802,0.1419,0.2779,1022.0,2015
826,28073,MS,Lamar County,0.0,0.1496,0.2116,0.2042,0.1691,0.2055,0.0,0.0,0.0606,0.9394,0.279,0.721,0.0,0.0559,0.155,0.0088,0.0,0.0,0.3713,0.3989,0.0,0.5155,0.2325,0.0943,0.062,0.0344,0.0,0.0296,0.05,0.0,0.78,0.14,0.0,0.7069,0.1381,0.155,1484.0,2015
827,28075,MS,Lauderdale County,0.0,0.1353,0.1616,0.1712,0.2286,0.2712,0.0,0.0,0.0842,0.9158,0.2669,0.7331,0.0,0.0234,0.3725,0.0,0.0,0.0,0.2109,0.3883,0.0359,0.5911,0.2013,0.0818,0.0311,0.0277,0.0062,0.0249,0.02,0.0,0.79,0.17,0.0,0.6475,0.111,0.2415,2091.0,2015
828,28077,MS,Lawrence County,0.0,0.0966,0.1061,0.1705,0.2538,0.3352,0.0,0.0,0.0246,0.9754,0.1932,0.8068,0.0,0.0,0.3163,0.0,0.0,0.0,0.2652,0.4072,0.0,0.608,0.2216,0.0795,0.0284,0.0303,0.0,0.0,0.0,0.06,0.83,0.09,0.0,0.6496,0.1288,0.2216,528.0,2015
829,28079,MS,Leake County,0.0,0.1338,0.1303,0.1725,0.2412,0.3046,0.0,0.0,0.0475,0.9525,0.2324,0.7676,0.0,0.0299,0.2993,0.0,0.0,0.0,0.3046,0.3574,0.0,0.6144,0.2007,0.0792,0.0335,0.0,0.0,0.0317,0.0,0.02,0.81,0.13,0.0,0.6197,0.1004,0.2799,568.0,2015
830,28081,MS,Lee County,0.0387,0.1242,0.1745,0.1943,0.2025,0.2576,0.0082,0.0,0.0855,0.9145,0.2987,0.7013,0.0,0.0498,0.2354,0.0077,0.0,0.0,0.2948,0.406,0.0309,0.5476,0.1933,0.1005,0.0425,0.0435,0.0087,0.0329,0.0,0.02,0.77,0.19,0.0,0.6515,0.1199,0.2286,2069.0,2015
831,28083,MS,Leflore County,0.0,0.1359,0.1256,0.1895,0.2327,0.2956,0.0,0.0,0.0453,0.9547,0.206,0.794,0.0,0.0299,0.3234,0.0,0.0,0.0,0.07,0.5716,0.0299,0.6571,0.1813,0.0453,0.0,0.0278,0.0,0.0319,0.01,0.0,0.84,0.12,0.0,0.6313,0.1648,0.2039,971.0,2015
